date,plant,production_line,shift,vehicle_model,planned_production,actual_production,scrap_units,rework_units,downtime_minutes
2024-05-10,Plant-B,Line-1,Shift-B,SUV-B,600,1118,47,19,17
2024-11-02,Plant-A,Line-1,Shift-B,Utility-A,536,981,5,37,8
2024-05-14,Plant-C,Line-1,Shift-C,SUV-B,1039,766,42,8,21
2024-01-21,Plant-C,Line-2,Shift-A,Offroad-A,964,384,16,17,27
2024-11-24,Plant-B,Line-1,Shift-A,Offroad-A,793,787,14,14,59
2024-06-15,Plant-C,Line-3,Shift-A,SUV-B,995,661,35,14,11
2024-09-30,Plant-C,Line-2,Shift-A,Offroad-A,1120,492,23,13,36
2024-03-29,Plant-D,Line-2,Shift-C,SUV-A,1196,546,39,34,81
2024-11-11,Plant-B,Line-2,Shift-C,Utility-A,435,609,28,39,118
2024-01-14,Plant-D,Line-2,Shift-C,Utility-A,614,715,49,35,118
2024-08-29,Plant-D,Line-3,Shift-B,SUV-B,426,945,13,19,97
2024-09-21,Plant-A,Line-3,Shift-C,SUV-A,1057,541,1,10,41
2024-12-11,Plant-B,Line-1,Shift-A,SUV-B,417,836,47,16,53
2024-02-22,Plant-A,Line-2,Shift-C,SUV-B,1029,883,21,24,41
2024-12-05,Plant-A,Line-1,Shift-B,Offroad-A,536,373,46,28,66
2024-04-01,Plant-D,Line-3,Shift-A,Utility-A,978,424,5,22,55
2024-09-20,Plant-C,Line-2,Shift-C,SUV-A,429,995,8,8,45
2024-02-04,Plant-B,Line-3,Shift-A,Offroad-A,472,743,11,24,4
2024-07-24,Plant-C,Line-1,Shift-A,Utility-A,522,1028,41,22,55
2024-03-21,Plant-D,Line-3,Shift-C,Utility-A,627,807,38,1,22
2024-02-19,Plant-D,Line-2,Shift-C,SUV-B,737,459,4,0,61
2024-12-25,Plant-D,Line-2,Shift-B,SUV-A,672,439,39,37,12
2024-01-02,Plant-D,Line-1,Shift-C,SUV-B,1157,386,43,5,58
2024-02-23,Plant-D,Line-2,Shift-C,Offroad-A,836,1171,0,14,87
2024-04-15,Plant-D,Line-3,Shift-C,SUV-B,438,912,9,6,27
2024-09-16,Plant-C,Line-3,Shift-A,SUV-B,1081,921,10,1,80
2024-11-05,Plant-A,Line-3,Shift-B,Utility-A,825,933,26,29,5
2024-07-09,Plant-C,Line-3,Shift-A,Utility-A,714,989,22,28,60
2024-08-05,Plant-B,Line-1,Shift-C,Offroad-A,1013,656,19,11,60
2024-02-13,Plant-C,Line-3,Shift-B,Utility-A,908,411,4,33,90
2024-06-10,Plant-D,Line-1,Shift-C,Utility-A,1154,654,12,29,44
2024-07-20,Plant-C,Line-3,Shift-A,Utility-A,556,528,49,35,92
2024-09-26,Plant-A,Line-1,Shift-A,SUV-B,1176,889,9,34,11
2024-12-16,Plant-B,Line-3,Shift-C,SUV-A,656,1101,48,1,34
2024-10-30,Plant-C,Line-3,Shift-B,Offroad-A,1034,1093,35,2,61
2024-09-27,Plant-A,Line-1,Shift-A,SUV-B,855,1014,40,11,111
2024-08-02,Plant-C,Line-2,Shift-C,Offroad-A,446,1194,49,3,4
2024-09-08,Plant-B,Line-2,Shift-C,SUV-B,731,793,15,6,65
2024-07-08,Plant-C,Line-2,Shift-C,Offroad-A,409,868,6,19,74
2024-10-22,Plant-D,Line-1,Shift-B,Utility-A,543,926,31,18,67
2024-07-31,Plant-C,Line-2,Shift-C,Offroad-A,830,984,24,7,85
2024-07-26,Plant-A,Line-2,Shift-C,SUV-A,551,385,43,2,64
2024-08-24,Plant-C,Line-1,Shift-A,Offroad-A,886,1099,25,26,108
2024-12-03,Plant-A,Line-2,Shift-C,SUV-A,535,827,35,14,113
2024-02-22,Plant-B,Line-2,Shift-B,Offroad-A,986,422,27,7,79
2024-10-06,Plant-C,Line-2,Shift-C,Utility-A,425,379,43,17,65
2024-08-04,Plant-B,Line-1,Shift-B,Offroad-A,406,1088,11,28,40
2024-09-08,Plant-B,Line-1,Shift-C,SUV-B,990,652,25,35,26
2024-07-06,Plant-C,Line-2,Shift-C,Utility-A,414,696,3,2,75
2024-02-10,Plant-A,Line-2,Shift-C,Utility-A,831,1146,43,8,4
2024-06-05,Plant-B,Line-1,Shift-B,SUV-B,799,860,22,9,4
2024-01-15,Plant-B,Line-2,Shift-A,Utility-A,606,866,39,39,85
2024-10-27,Plant-C,Line-1,Shift-B,Utility-A,1000,414,23,19,12
2024-03-05,Plant-C,Line-2,Shift-A,SUV-B,1008,1096,30,1,79
2024-12-10,Plant-C,Line-1,Shift-B,Utility-A,615,976,29,0,89
2024-11-22,Plant-C,Line-3,Shift-C,Utility-A,901,802,2,26,114
2024-01-09,Plant-C,Line-3,Shift-C,Utility-A,858,1180,15,3,8
2024-12-09,Plant-D,Line-1,Shift-A,Utility-A,658,1107,33,36,47
2024-05-08,Plant-C,Line-3,Shift-A,Offroad-A,728,878,37,31,31
2024-05-15,Plant-A,Line-2,Shift-B,Utility-A,853,1168,27,17,82
2024-03-03,Plant-B,Line-1,Shift-B,Utility-A,1198,718,48,13,35
2024-05-18,Plant-A,Line-1,Shift-A,Utility-A,774,386,43,14,91
2024-03-21,Plant-A,Line-2,Shift-A,Offroad-A,863,730,40,3,14
2024-06-11,Plant-D,Line-2,Shift-B,SUV-A,474,568,47,18,8
2024-10-15,Plant-C,Line-1,Shift-A,Utility-A,641,998,6,23,15
2024-09-17,Plant-B,Line-2,Shift-A,SUV-A,416,595,7,29,119
2024-08-18,Plant-A,Line-1,Shift-A,SUV-A,1088,899,6,12,5
2024-02-10,Plant-C,Line-2,Shift-A,SUV-B,658,600,36,10,71
2024-01-28,Plant-C,Line-1,Shift-C,SUV-B,522,914,6,27,32
2024-05-14,Plant-D,Line-2,Shift-C,SUV-A,710,695,49,10,95
2024-07-19,Plant-D,Line-2,Shift-A,Offroad-A,510,1170,17,0,109
2024-11-23,Plant-D,Line-3,Shift-B,Utility-A,655,1064,47,3,99
2024-09-24,Plant-B,Line-3,Shift-C,Utility-A,633,821,38,37,41
2024-02-02,Plant-A,Line-3,Shift-B,Utility-A,896,910,20,33,58
2024-02-17,Plant-D,Line-2,Shift-B,SUV-B,439,471,33,11,111
2024-03-02,Plant-D,Line-1,Shift-C,SUV-B,521,675,48,23,35
2024-08-03,Plant-D,Line-2,Shift-B,Utility-A,849,877,26,36,33
2024-10-19,Plant-A,Line-3,Shift-B,SUV-A,1126,1130,7,31,1
2024-04-08,Plant-A,Line-2,Shift-A,SUV-B,1197,1097,33,18,12
2024-06-20,Plant-D,Line-3,Shift-A,Utility-A,1192,470,17,28,42
2024-12-25,Plant-D,Line-3,Shift-A,SUV-A,918,488,40,37,73
2024-08-01,Plant-C,Line-1,Shift-C,Utility-A,491,436,11,28,56
2024-02-04,Plant-D,Line-1,Shift-A,SUV-B,760,479,21,18,101
2024-08-14,Plant-B,Line-3,Shift-B,Offroad-A,522,601,39,19,6
2024-04-10,Plant-B,Line-3,Shift-B,Offroad-A,736,1136,21,2,58
2024-05-10,Plant-D,Line-2,Shift-B,SUV-B,1007,709,7,39,58
2024-09-13,Plant-A,Line-3,Shift-B,SUV-A,912,1162,41,4,110
2024-01-05,Plant-C,Line-2,Shift-B,Utility-A,1002,779,27,22,115
2024-08-05,Plant-A,Line-3,Shift-C,SUV-B,827,396,49,4,50
2024-09-11,Plant-D,Line-1,Shift-B,SUV-A,832,940,46,29,2
2024-12-24,Plant-B,Line-1,Shift-C,Utility-A,406,850,31,31,116
2024-10-09,Plant-C,Line-3,Shift-B,Utility-A,519,1159,10,23,26
2024-07-25,Plant-A,Line-2,Shift-C,SUV-B,786,774,20,34,77
2024-01-15,Plant-A,Line-2,Shift-C,Utility-A,749,724,25,31,53
2024-12-11,Plant-D,Line-2,Shift-B,Offroad-A,1040,1080,13,21,93
2024-02-11,Plant-C,Line-3,Shift-B,Offroad-A,1090,460,14,20,63
2024-06-27,Plant-B,Line-3,Shift-B,Utility-A,497,576,13,27,33
2024-03-03,Plant-D,Line-1,Shift-B,SUV-B,442,1136,11,33,22
2024-12-17,Plant-C,Line-1,Shift-A,Utility-A,582,1117,35,15,47
2024-08-18,Plant-A,Line-3,Shift-A,SUV-B,1096,388,2,10,54
2024-08-28,Plant-D,Line-1,Shift-C,SUV-B,964,484,43,32,16
2024-02-21,Plant-A,Line-2,Shift-C,Offroad-A,1139,644,6,37,78
2024-04-05,Plant-A,Line-2,Shift-A,Offroad-A,1072,959,38,18,61
2024-08-09,Plant-D,Line-3,Shift-C,SUV-A,634,383,45,27,108
2024-08-18,Plant-D,Line-2,Shift-B,SUV-B,845,777,0,28,60
2024-08-24,Plant-D,Line-3,Shift-C,Utility-A,599,417,38,36,60
2024-05-22,Plant-D,Line-2,Shift-C,SUV-B,912,1052,24,2,43
2024-06-19,Plant-D,Line-3,Shift-C,Offroad-A,925,548,30,17,70
2024-01-29,Plant-A,Line-2,Shift-A,SUV-B,612,909,21,17,115
2024-02-05,Plant-B,Line-2,Shift-A,SUV-A,777,608,9,11,115
2024-01-13,Plant-B,Line-1,Shift-C,Utility-A,1188,1074,17,17,2
2024-06-08,Plant-D,Line-1,Shift-B,SUV-B,945,1023,12,31,72
2024-11-22,Plant-A,Line-1,Shift-C,Utility-A,885,974,7,35,66
2024-07-05,Plant-B,Line-1,Shift-A,Utility-A,760,486,8,18,111
2024-08-30,Plant-B,Line-1,Shift-B,Offroad-A,1181,1178,14,3,115
2024-03-26,Plant-B,Line-1,Shift-C,SUV-B,567,730,7,10,98
2024-10-10,Plant-A,Line-3,Shift-A,Utility-A,1081,873,32,2,103
2024-03-06,Plant-D,Line-3,Shift-B,Offroad-A,993,587,34,26,7
2024-06-18,Plant-D,Line-1,Shift-C,SUV-A,803,633,18,15,25
2024-02-14,Plant-D,Line-3,Shift-A,SUV-A,536,1037,29,17,119
2024-03-02,Plant-C,Line-1,Shift-B,SUV-B,632,1086,8,29,14
2024-05-13,Plant-C,Line-3,Shift-C,Utility-A,514,807,18,23,4
2024-10-10,Plant-C,Line-2,Shift-B,SUV-B,651,936,46,5,12
2024-01-28,Plant-A,Line-3,Shift-B,Utility-A,892,484,45,33,78
2024-04-17,Plant-B,Line-3,Shift-B,Offroad-A,688,431,25,11,102
2024-02-13,Plant-B,Line-3,Shift-A,SUV-A,448,944,0,22,11
2024-12-05,Plant-A,Line-2,Shift-C,SUV-A,851,1003,2,35,98
2024-10-12,Plant-A,Line-1,Shift-B,SUV-A,915,558,33,39,62
2024-11-26,Plant-D,Line-3,Shift-B,SUV-A,1087,1076,24,14,7
2024-05-07,Plant-D,Line-3,Shift-B,SUV-B,671,752,29,15,73
2024-12-13,Plant-C,Line-2,Shift-A,Utility-A,830,1171,0,13,33
2024-08-18,Plant-C,Line-1,Shift-B,SUV-B,425,1116,17,14,71
2024-07-08,Plant-A,Line-3,Shift-A,Offroad-A,469,537,32,11,21
2024-08-12,Plant-C,Line-2,Shift-A,SUV-A,692,842,8,34,49
2024-10-09,Plant-B,Line-1,Shift-B,Utility-A,805,1108,6,24,11
2024-04-30,Plant-A,Line-1,Shift-B,SUV-B,633,604,29,13,21
2024-04-25,Plant-A,Line-3,Shift-A,Utility-A,630,672,12,1,90
2024-08-20,Plant-B,Line-3,Shift-A,SUV-B,662,1023,16,17,57
2024-09-15,Plant-D,Line-3,Shift-B,Utility-A,1197,774,12,34,81
2024-12-24,Plant-D,Line-3,Shift-A,Utility-A,985,764,12,8,18
2024-07-16,Plant-B,Line-2,Shift-A,SUV-A,520,516,41,10,4
2024-05-16,Plant-B,Line-2,Shift-B,SUV-B,862,939,37,25,15
2024-11-13,Plant-C,Line-3,Shift-B,Offroad-A,917,834,36,2,112
2024-06-13,Plant-A,Line-1,Shift-C,Utility-A,423,785,9,4,40
2024-08-12,Plant-C,Line-3,Shift-B,Offroad-A,1105,1036,13,31,73
2024-11-02,Plant-B,Line-1,Shift-B,SUV-A,1079,881,42,9,18
2024-08-21,Plant-C,Line-1,Shift-B,Offroad-A,776,957,4,37,107
2024-06-20,Plant-B,Line-1,Shift-C,Utility-A,899,830,35,5,64
2024-05-31,Plant-C,Line-2,Shift-A,Utility-A,836,529,34,10,21
2024-11-10,Plant-C,Line-1,Shift-B,Utility-A,1121,956,45,16,16
2024-06-08,Plant-D,Line-1,Shift-B,SUV-B,1044,420,44,1,34
2024-04-05,Plant-B,Line-2,Shift-C,Offroad-A,898,1051,22,23,38
2024-08-20,Plant-C,Line-1,Shift-C,SUV-B,573,790,4,4,115
2024-06-28,Plant-A,Line-1,Shift-C,Utility-A,1062,993,43,20,72
2024-04-22,Plant-C,Line-3,Shift-A,Utility-A,999,488,27,5,54
2024-11-13,Plant-C,Line-1,Shift-C,SUV-A,908,1136,22,3,4
2024-02-21,Plant-A,Line-1,Shift-A,SUV-A,1177,451,41,8,72
2024-09-24,Plant-B,Line-1,Shift-B,Utility-A,709,817,33,4,114
2024-10-21,Plant-D,Line-1,Shift-B,SUV-B,469,632,30,3,10
2024-04-22,Plant-D,Line-1,Shift-B,SUV-B,604,378,6,8,77
2024-04-10,Plant-D,Line-2,Shift-C,Utility-A,740,367,6,17,109
2024-04-22,Plant-A,Line-1,Shift-B,Offroad-A,431,1105,3,15,39
2024-03-21,Plant-C,Line-1,Shift-C,SUV-B,442,1036,43,1,87
2024-07-05,Plant-B,Line-2,Shift-A,Utility-A,517,857,31,28,83
2024-04-22,Plant-C,Line-2,Shift-B,SUV-A,414,950,27,35,96
2024-01-02,Plant-D,Line-1,Shift-A,Utility-A,721,369,3,11,3
2024-05-09,Plant-C,Line-1,Shift-C,SUV-B,1026,675,38,36,79
2024-08-07,Plant-A,Line-1,Shift-C,Utility-A,736,705,44,33,88
2024-02-23,Plant-A,Line-3,Shift-B,Offroad-A,931,782,7,34,57
2024-12-08,Plant-B,Line-3,Shift-B,Offroad-A,1089,748,13,39,64
2024-08-11,Plant-B,Line-1,Shift-C,SUV-B,1173,367,29,5,114
2024-08-12,Plant-D,Line-2,Shift-B,Utility-A,990,899,2,36,87
2024-05-05,Plant-B,Line-1,Shift-B,Offroad-A,780,725,1,35,63
2024-05-09,Plant-C,Line-2,Shift-A,Offroad-A,910,950,9,19,66
2024-02-22,Plant-A,Line-2,Shift-C,SUV-A,519,689,5,15,95
2024-06-20,Plant-A,Line-2,Shift-A,SUV-B,425,499,6,7,33
2024-08-05,Plant-A,Line-1,Shift-B,SUV-A,933,1065,15,21,112
2024-06-08,Plant-B,Line-1,Shift-A,SUV-A,1112,582,5,4,88
2024-07-16,Plant-A,Line-2,Shift-C,Offroad-A,463,453,15,4,106
2024-09-03,Plant-A,Line-3,Shift-A,Utility-A,859,972,26,10,57
2024-11-19,Plant-A,Line-3,Shift-A,SUV-A,1125,1086,11,18,66
2024-07-21,Plant-D,Line-3,Shift-B,SUV-B,713,570,21,38,6
2024-07-02,Plant-D,Line-2,Shift-C,SUV-B,989,375,14,16,105
2024-05-02,Plant-B,Line-1,Shift-B,Utility-A,615,413,21,36,34
2024-09-11,Plant-A,Line-2,Shift-B,SUV-B,855,603,34,37,28
2024-10-20,Plant-B,Line-3,Shift-C,SUV-A,1135,598,47,17,103
2024-10-06,Plant-A,Line-1,Shift-A,Utility-A,939,1085,49,8,24
2024-11-20,Plant-A,Line-2,Shift-B,SUV-B,1112,1175,14,16,27
2024-04-07,Plant-A,Line-2,Shift-A,SUV-B,978,480,22,32,87
2024-07-16,Plant-B,Line-3,Shift-C,SUV-A,872,379,37,19,68
2024-08-27,Plant-B,Line-2,Shift-B,SUV-A,758,1136,48,17,26
2024-05-23,Plant-A,Line-1,Shift-A,SUV-A,525,359,1,23,73
2024-04-06,Plant-C,Line-3,Shift-A,SUV-A,1106,438,1,12,75
2024-07-19,Plant-B,Line-3,Shift-B,Utility-A,1085,779,48,39,81
2024-05-03,Plant-D,Line-1,Shift-C,Utility-A,486,496,18,27,101
2024-07-05,Plant-B,Line-3,Shift-A,Utility-A,742,476,4,2,7
2024-11-21,Plant-A,Line-2,Shift-C,Offroad-A,794,1047,3,35,113
2024-12-14,Plant-C,Line-2,Shift-B,SUV-A,883,473,27,10,37
2024-09-15,Plant-A,Line-3,Shift-A,SUV-A,1065,968,17,38,118
2024-05-27,Plant-D,Line-1,Shift-A,Utility-A,855,690,39,20,93
2024-09-08,Plant-B,Line-2,Shift-A,SUV-B,875,867,40,36,8
2024-12-11,Plant-B,Line-1,Shift-C,SUV-B,609,400,49,1,111
2024-05-26,Plant-A,Line-2,Shift-A,SUV-A,924,747,30,5,42
2024-05-27,Plant-A,Line-2,Shift-A,SUV-A,1075,663,21,4,24
2024-12-17,Plant-D,Line-3,Shift-B,Utility-A,1166,997,10,31,93
2024-07-17,Plant-C,Line-3,Shift-A,SUV-A,975,863,47,36,65
2024-11-03,Plant-D,Line-1,Shift-C,SUV-B,706,851,15,39,16
2024-05-07,Plant-C,Line-3,Shift-B,SUV-B,475,879,3,10,108
2024-02-08,Plant-B,Line-2,Shift-B,SUV-A,421,1110,20,16,6
2024-12-03,Plant-C,Line-2,Shift-A,Utility-A,459,1046,40,13,21
2024-12-25,Plant-C,Line-1,Shift-B,Utility-A,785,1083,44,1,9
2024-05-08,Plant-B,Line-1,Shift-A,SUV-B,455,1089,24,38,89
2024-09-23,Plant-B,Line-2,Shift-B,Utility-A,567,768,19,17,12
2024-05-30,Plant-B,Line-3,Shift-C,SUV-B,811,543,7,32,41
2024-10-24,Plant-D,Line-3,Shift-A,SUV-A,1116,661,42,29,27
2024-04-08,Plant-B,Line-1,Shift-C,SUV-B,1170,1071,8,14,99
2024-09-19,Plant-A,Line-1,Shift-A,SUV-A,590,648,17,28,58
2024-09-08,Plant-B,Line-2,Shift-C,Utility-A,881,678,30,25,10
2024-05-23,Plant-B,Line-2,Shift-C,Offroad-A,966,825,34,0,8
2024-12-11,Plant-B,Line-1,Shift-B,Offroad-A,815,933,29,16,79
2024-04-21,Plant-C,Line-2,Shift-A,Offroad-A,739,466,17,38,80
2024-02-29,Plant-D,Line-1,Shift-B,SUV-B,1195,613,18,1,54
2024-01-02,Plant-B,Line-1,Shift-C,Offroad-A,1175,866,40,14,4
2024-10-30,Plant-D,Line-3,Shift-A,SUV-B,658,1130,23,21,68
2024-09-10,Plant-A,Line-1,Shift-C,Utility-A,749,868,49,19,37
2024-05-19,Plant-A,Line-2,Shift-C,SUV-A,1000,370,21,28,94
2024-02-06,Plant-B,Line-3,Shift-C,Offroad-A,836,826,47,24,65
2024-06-08,Plant-A,Line-3,Shift-C,SUV-B,621,898,13,23,90
2024-01-09,Plant-D,Line-2,Shift-B,Utility-A,812,522,18,33,109
2024-08-20,Plant-C,Line-2,Shift-C,Utility-A,749,411,28,20,106
2024-04-08,Plant-B,Line-2,Shift-B,Offroad-A,881,555,21,1,82
2024-05-26,Plant-A,Line-1,Shift-C,Utility-A,1000,962,29,15,63
2024-10-30,Plant-D,Line-3,Shift-A,Utility-A,458,980,14,39,106
2024-07-26,Plant-D,Line-1,Shift-C,Utility-A,551,528,20,20,24
2024-05-10,Plant-A,Line-1,Shift-C,SUV-B,939,993,25,36,51
2024-05-31,Plant-D,Line-1,Shift-A,Utility-A,624,691,35,7,37
2024-02-23,Plant-D,Line-1,Shift-A,Utility-A,717,789,11,13,76
2024-04-29,Plant-B,Line-3,Shift-C,Utility-A,962,424,6,21,92
2024-06-09,Plant-D,Line-3,Shift-C,Utility-A,1174,639,10,17,18
2024-04-25,Plant-A,Line-1,Shift-B,Utility-A,678,906,38,4,98
2024-03-15,Plant-B,Line-2,Shift-A,SUV-B,957,493,19,29,24
2024-04-22,Plant-A,Line-3,Shift-A,Utility-A,873,998,34,30,47
2024-04-13,Plant-C,Line-1,Shift-B,Utility-A,1017,557,3,8,72
2024-12-05,Plant-A,Line-2,Shift-C,SUV-A,1195,1092,1,30,60
2024-09-10,Plant-A,Line-2,Shift-C,Utility-A,423,621,19,30,34
2024-08-14,Plant-B,Line-1,Shift-A,Utility-A,918,956,46,8,50
2024-04-21,Plant-D,Line-3,Shift-B,SUV-B,767,764,19,36,14
2024-04-08,Plant-A,Line-2,Shift-C,Utility-A,734,746,11,5,85
2024-06-01,Plant-B,Line-3,Shift-A,SUV-B,832,733,16,25,76
2024-12-14,Plant-C,Line-3,Shift-C,Offroad-A,402,610,17,9,48
2024-12-03,Plant-B,Line-2,Shift-C,Utility-A,657,988,39,5,29
2024-07-12,Plant-B,Line-1,Shift-C,SUV-A,662,516,23,32,20
2024-11-05,Plant-D,Line-2,Shift-A,SUV-B,520,367,7,29,88
2024-06-11,Plant-A,Line-2,Shift-B,Offroad-A,1119,1009,36,39,88
2024-07-26,Plant-C,Line-3,Shift-B,SUV-A,420,596,40,23,103
2024-06-17,Plant-B,Line-1,Shift-C,SUV-B,539,991,29,27,85
2024-06-09,Plant-A,Line-3,Shift-B,Offroad-A,876,645,19,37,109
2024-03-08,Plant-A,Line-2,Shift-C,SUV-A,1191,763,22,28,40
2024-10-15,Plant-B,Line-1,Shift-A,Utility-A,688,1127,36,14,2
2024-10-03,Plant-A,Line-1,Shift-A,SUV-A,605,669,9,7,72
2024-10-30,Plant-B,Line-1,Shift-A,SUV-A,442,903,32,22,23
2024-05-14,Plant-B,Line-1,Shift-C,SUV-A,517,1064,23,8,107
2024-07-13,Plant-B,Line-1,Shift-B,SUV-B,404,1042,35,10,110
2024-05-07,Plant-C,Line-2,Shift-A,Utility-A,606,530,15,5,95
2024-02-02,Plant-B,Line-2,Shift-C,Utility-A,1034,645,49,11,16
2024-06-24,Plant-D,Line-2,Shift-B,SUV-B,744,1005,27,33,104
2024-01-22,Plant-A,Line-3,Shift-B,SUV-A,541,410,11,20,87
2024-08-25,Plant-C,Line-1,Shift-B,Utility-A,771,558,19,31,7
2024-06-06,Plant-A,Line-1,Shift-C,SUV-A,631,515,46,35,5
2024-02-07,Plant-C,Line-2,Shift-C,Utility-A,563,649,17,24,8
2024-08-17,Plant-D,Line-1,Shift-C,SUV-B,946,1004,36,34,14
2024-12-30,Plant-C,Line-3,Shift-A,Offroad-A,763,700,25,33,63
2024-02-20,Plant-C,Line-1,Shift-C,SUV-A,734,410,45,18,87
2024-09-20,Plant-C,Line-1,Shift-A,Utility-A,410,612,6,36,49
2024-10-09,Plant-A,Line-3,Shift-A,Utility-A,807,473,42,16,117
2024-01-27,Plant-B,Line-2,Shift-A,Utility-A,474,587,46,15,10
2024-08-13,Plant-A,Line-2,Shift-C,SUV-B,699,891,20,15,94
2024-10-03,Plant-B,Line-1,Shift-A,SUV-B,780,1116,42,3,119
2024-10-12,Plant-A,Line-3,Shift-C,Offroad-A,1109,439,31,29,45
2024-04-06,Plant-D,Line-2,Shift-C,SUV-B,1175,488,6,33,44
2024-10-10,Plant-D,Line-2,Shift-A,SUV-A,1135,711,22,4,108
2024-11-12,Plant-C,Line-2,Shift-A,SUV-B,1033,762,19,32,117
2024-10-30,Plant-D,Line-1,Shift-A,Utility-A,985,1068,19,8,76
2024-05-26,Plant-C,Line-3,Shift-C,SUV-A,427,442,31,16,93
2024-01-04,Plant-B,Line-1,Shift-C,SUV-B,862,483,25,11,58
2024-02-04,Plant-D,Line-2,Shift-A,SUV-A,795,553,35,23,24
2024-07-10,Plant-B,Line-3,Shift-A,SUV-A,1082,1168,23,11,111
2024-02-18,Plant-A,Line-1,Shift-B,SUV-B,775,1197,0,14,11
2024-01-17,Plant-B,Line-2,Shift-A,SUV-A,820,971,27,15,84
2024-06-20,Plant-A,Line-2,Shift-B,Utility-A,763,387,25,22,87
2024-08-07,Plant-B,Line-1,Shift-B,Utility-A,615,806,33,17,25
2024-06-06,Plant-B,Line-2,Shift-C,SUV-B,500,883,25,21,113
2024-02-15,Plant-D,Line-2,Shift-C,SUV-B,1157,1086,35,30,75
2024-01-06,Plant-B,Line-3,Shift-B,Utility-A,492,787,4,14,36
2024-04-08,Plant-D,Line-2,Shift-B,SUV-B,974,1029,1,20,112
2024-08-20,Plant-D,Line-1,Shift-A,Utility-A,665,996,31,7,84
2024-02-06,Plant-C,Line-3,Shift-B,SUV-A,605,971,33,39,22
2024-10-06,Plant-C,Line-1,Shift-A,SUV-B,479,573,49,35,64
2024-12-14,Plant-A,Line-2,Shift-C,Offroad-A,436,517,29,37,44
2024-10-28,Plant-B,Line-3,Shift-A,Utility-A,410,456,23,5,73
2024-06-29,Plant-A,Line-3,Shift-C,Utility-A,1026,729,27,16,34
