claim_date,vehicle_model,plant,supplier,part_name,failure_mode,claim_count,repair_cost,vehicle_age_months,region
2024-12-20,Offroad-A,Plant-B,Supplier-Gamma,Rear Bumper,Material Failure,7,12202,3,North
2024-11-05,Offroad-A,Plant-C,Supplier-Delta,Front Bumper,Material Failure,6,12363,9,South
2024-10-30,SUV-B,Plant-A,Supplier-Gamma,Wheel Arch Cladding,Material Failure,6,9225,10,West
2024-12-16,Utility-A,Plant-D,Supplier-Gamma,Door Trim,Material Failure,1,11818,5,North
2024-08-19,Utility-A,Plant-A,Supplier-Beta,Fender Cladding,Crack,6,24599,2,North
2024-03-30,SUV-A,Plant-C,Supplier-Delta,Fender Cladding,Noise,4,2724,26,West
2024-05-29,Offroad-A,Plant-A,Supplier-Gamma,Door Trim,Fitment Issue,1,10994,6,West
2024-03-12,Offroad-A,Plant-D,Supplier-Delta,Dashboard Panel,Crack,1,8524,6,East
2024-12-25,SUV-B,Plant-C,Supplier-Gamma,Dashboard Panel,Noise,5,18539,5,South
2024-11-03,Offroad-A,Plant-A,Supplier-Delta,Fender Cladding,Fitment Issue,2,17002,28,East
2024-09-13,SUV-B,Plant-C,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,6,9878,19,North
2024-02-14,Utility-A,Plant-C,Supplier-Gamma,Wheel Arch Cladding,Material Failure,4,16513,24,East
2024-02-09,Offroad-A,Plant-A,Supplier-Delta,Door Trim,Fitment Issue,3,24188,26,West
2024-07-10,SUV-A,Plant-C,Supplier-Gamma,Rear Bumper,Noise,7,23985,15,West
2024-01-11,SUV-B,Plant-A,Supplier-Gamma,Dashboard Panel,Material Failure,5,13804,16,East
2024-12-17,Utility-A,Plant-D,Supplier-Gamma,Fender Cladding,Crack,3,24637,31,North
2024-05-14,SUV-B,Plant-C,Supplier-Alpha,Front Bumper,Crack,7,7276,29,North
2024-06-27,Offroad-A,Plant-A,Supplier-Gamma,Dashboard Panel,Material Failure,5,6152,22,East
2024-08-08,Utility-A,Plant-D,Supplier-Delta,Front Bumper,Material Failure,1,6341,19,East
2024-08-09,Utility-A,Plant-B,Supplier-Alpha,Wheel Arch Cladding,Fitment Issue,2,8008,6,South
2024-02-08,SUV-A,Plant-C,Supplier-Gamma,Rear Bumper,Fitment Issue,4,11020,35,East
2024-02-13,Utility-A,Plant-D,Supplier-Delta,Rear Bumper,Noise,1,13963,15,South
2024-11-08,Offroad-A,Plant-C,Supplier-Delta,Dashboard Panel,Material Failure,3,14400,17,West
2024-10-23,SUV-B,Plant-C,Supplier-Delta,Fender Cladding,Crack,7,10513,8,West
2024-10-21,Utility-A,Plant-B,Supplier-Alpha,Dashboard Panel,Noise,7,7170,13,East
2024-05-27,Offroad-A,Plant-D,Supplier-Beta,Fender Cladding,Crack,2,10713,16,West
2024-01-22,SUV-A,Plant-C,Supplier-Beta,Door Trim,Crack,3,21287,5,South
2024-06-05,SUV-B,Plant-D,Supplier-Alpha,Wheel Arch Cladding,Noise,6,12482,24,East
2024-10-28,SUV-A,Plant-B,Supplier-Gamma,Door Trim,Crack,4,2351,26,North
2024-01-03,SUV-A,Plant-D,Supplier-Beta,Door Trim,Material Failure,7,22972,19,West
2024-07-19,Utility-A,Plant-B,Supplier-Beta,Rear Bumper,Material Failure,6,5030,3,North
2024-11-07,SUV-B,Plant-D,Supplier-Delta,Fender Cladding,Noise,3,4735,8,East
2024-11-18,Utility-A,Plant-B,Supplier-Delta,Front Bumper,Crack,2,22536,26,West
2024-12-10,SUV-A,Plant-D,Supplier-Gamma,Door Trim,Crack,7,20867,31,East
2024-04-06,Offroad-A,Plant-A,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,4,20667,29,East
2024-04-18,SUV-B,Plant-A,Supplier-Delta,Door Trim,Surface Damage,1,4360,31,North
2024-08-15,SUV-A,Plant-C,Supplier-Alpha,Front Bumper,Noise,1,4900,19,East
2024-08-29,Utility-A,Plant-B,Supplier-Gamma,Front Bumper,Crack,2,11045,20,North
2024-10-23,SUV-A,Plant-C,Supplier-Delta,Wheel Arch Cladding,Noise,2,6822,22,West
2024-01-29,Utility-A,Plant-A,Supplier-Delta,Dashboard Panel,Fitment Issue,7,21467,29,East
2024-12-24,Offroad-A,Plant-C,Supplier-Delta,Front Bumper,Noise,6,12689,11,East
2024-04-18,Offroad-A,Plant-D,Supplier-Alpha,Front Bumper,Material Failure,2,6520,1,West
2024-01-11,Utility-A,Plant-B,Supplier-Alpha,Dashboard Panel,Crack,6,8652,9,West
2024-04-04,Offroad-A,Plant-B,Supplier-Delta,Front Bumper,Fitment Issue,3,14981,18,East
2024-05-11,Offroad-A,Plant-D,Supplier-Gamma,Door Trim,Material Failure,7,9956,1,West
2024-04-02,Utility-A,Plant-B,Supplier-Delta,Wheel Arch Cladding,Surface Damage,1,24878,5,West
2024-02-23,Utility-A,Plant-B,Supplier-Beta,Door Trim,Surface Damage,1,14689,12,West
2024-08-29,Utility-A,Plant-C,Supplier-Delta,Dashboard Panel,Noise,7,4509,28,North
2024-07-13,SUV-A,Plant-B,Supplier-Alpha,Wheel Arch Cladding,Crack,1,20182,24,South
2024-09-14,SUV-A,Plant-A,Supplier-Beta,Front Bumper,Surface Damage,4,12149,30,East
2024-12-21,SUV-A,Plant-D,Supplier-Alpha,Front Bumper,Fitment Issue,5,13027,19,North
2024-11-29,Utility-A,Plant-B,Supplier-Gamma,Fender Cladding,Crack,2,2010,21,East
2024-10-30,SUV-B,Plant-A,Supplier-Gamma,Front Bumper,Fitment Issue,4,15061,23,North
2024-03-08,Utility-A,Plant-D,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,5,17718,3,North
2024-10-26,SUV-A,Plant-C,Supplier-Gamma,Rear Bumper,Fitment Issue,7,18625,9,South
2024-07-08,SUV-B,Plant-C,Supplier-Beta,Wheel Arch Cladding,Surface Damage,7,20461,14,West
2024-05-07,SUV-A,Plant-C,Supplier-Alpha,Front Bumper,Noise,2,10731,31,East
2024-12-15,Offroad-A,Plant-C,Supplier-Delta,Front Bumper,Surface Damage,5,20789,6,East
2024-12-04,SUV-A,Plant-A,Supplier-Gamma,Rear Bumper,Surface Damage,1,11954,1,West
2024-01-19,SUV-B,Plant-A,Supplier-Alpha,Front Bumper,Noise,7,13831,11,North
2024-06-20,Offroad-A,Plant-B,Supplier-Alpha,Fender Cladding,Material Failure,5,3152,21,West
2024-03-02,SUV-A,Plant-B,Supplier-Gamma,Rear Bumper,Fitment Issue,2,12583,18,East
2024-03-07,Utility-A,Plant-C,Supplier-Delta,Door Trim,Material Failure,4,5387,24,South
2024-07-29,SUV-B,Plant-D,Supplier-Alpha,Dashboard Panel,Fitment Issue,2,10623,6,East
2024-12-07,Utility-A,Plant-D,Supplier-Delta,Fender Cladding,Material Failure,5,18566,34,North
2024-06-23,Utility-A,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Fitment Issue,6,17969,8,North
2024-12-05,SUV-A,Plant-A,Supplier-Delta,Dashboard Panel,Noise,5,15086,17,West
2024-01-07,Offroad-A,Plant-A,Supplier-Delta,Dashboard Panel,Noise,2,22371,31,North
2024-08-20,SUV-B,Plant-C,Supplier-Gamma,Fender Cladding,Noise,1,3466,30,East
2024-07-17,Offroad-A,Plant-C,Supplier-Alpha,Fender Cladding,Crack,7,24044,30,North
2024-01-22,SUV-B,Plant-A,Supplier-Gamma,Front Bumper,Fitment Issue,2,3869,2,West
2024-08-16,Offroad-A,Plant-A,Supplier-Beta,Door Trim,Noise,6,20857,29,North
2024-11-08,SUV-B,Plant-A,Supplier-Delta,Rear Bumper,Material Failure,2,23183,16,East
2024-12-15,SUV-B,Plant-C,Supplier-Alpha,Dashboard Panel,Crack,5,14155,5,West
2024-05-04,SUV-A,Plant-A,Supplier-Gamma,Fender Cladding,Crack,3,2665,6,East
2024-03-13,Offroad-A,Plant-D,Supplier-Beta,Dashboard Panel,Noise,5,23992,18,North
2024-07-04,SUV-A,Plant-A,Supplier-Delta,Front Bumper,Surface Damage,5,14159,13,West
2024-10-09,Offroad-A,Plant-B,Supplier-Alpha,Fender Cladding,Noise,5,10427,35,West
2024-02-07,Utility-A,Plant-A,Supplier-Gamma,Door Trim,Surface Damage,6,9178,4,West
2024-09-04,Offroad-A,Plant-B,Supplier-Alpha,Rear Bumper,Noise,5,15967,8,North
2024-03-16,SUV-A,Plant-D,Supplier-Delta,Front Bumper,Fitment Issue,6,3443,33,North
2024-05-20,SUV-B,Plant-B,Supplier-Beta,Fender Cladding,Material Failure,1,13610,11,West
2024-04-06,Offroad-A,Plant-C,Supplier-Delta,Door Trim,Surface Damage,6,2923,7,North
2024-05-22,SUV-B,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Surface Damage,4,13871,25,South
2024-03-20,Offroad-A,Plant-C,Supplier-Delta,Wheel Arch Cladding,Crack,7,10602,19,South
2024-09-12,SUV-A,Plant-D,Supplier-Gamma,Door Trim,Surface Damage,2,13463,3,North
2024-12-19,Utility-A,Plant-C,Supplier-Alpha,Dashboard Panel,Fitment Issue,2,21383,1,East
2024-10-30,Utility-A,Plant-A,Supplier-Alpha,Rear Bumper,Material Failure,3,4736,35,East
2024-01-15,Utility-A,Plant-D,Supplier-Alpha,Fender Cladding,Surface Damage,1,17156,11,South
2024-12-20,SUV-B,Plant-D,Supplier-Beta,Fender Cladding,Crack,6,4371,28,South
2024-10-22,SUV-A,Plant-A,Supplier-Beta,Door Trim,Material Failure,6,11336,7,West
2024-10-12,Offroad-A,Plant-A,Supplier-Alpha,Fender Cladding,Surface Damage,6,23151,14,South
2024-01-23,SUV-A,Plant-B,Supplier-Beta,Rear Bumper,Fitment Issue,3,12426,21,East
2024-09-21,Offroad-A,Plant-C,Supplier-Beta,Door Trim,Fitment Issue,2,6850,6,South
2024-06-08,Utility-A,Plant-A,Supplier-Gamma,Dashboard Panel,Material Failure,6,7823,33,West
2024-10-17,SUV-B,Plant-D,Supplier-Beta,Wheel Arch Cladding,Crack,3,8967,7,West
2024-10-31,Utility-A,Plant-D,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,5,24459,31,East
2024-04-05,SUV-B,Plant-A,Supplier-Beta,Front Bumper,Noise,7,11112,27,East
2024-09-28,SUV-A,Plant-C,Supplier-Alpha,Dashboard Panel,Noise,5,20135,23,West
2024-10-14,SUV-A,Plant-B,Supplier-Alpha,Dashboard Panel,Surface Damage,7,6179,1,South
2024-10-07,SUV-B,Plant-B,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,2,22785,26,North
2024-12-15,SUV-A,Plant-C,Supplier-Gamma,Fender Cladding,Noise,3,22713,35,North
2024-10-19,Utility-A,Plant-C,Supplier-Beta,Rear Bumper,Surface Damage,5,19414,3,East
2024-02-06,SUV-A,Plant-D,Supplier-Gamma,Rear Bumper,Surface Damage,1,23106,20,East
2024-06-11,SUV-B,Plant-A,Supplier-Delta,Front Bumper,Surface Damage,1,14805,21,South
2024-10-27,Offroad-A,Plant-B,Supplier-Gamma,Dashboard Panel,Crack,2,6306,30,North
2024-05-15,SUV-A,Plant-C,Supplier-Beta,Fender Cladding,Surface Damage,4,19971,30,South
2024-08-28,SUV-A,Plant-D,Supplier-Gamma,Dashboard Panel,Crack,4,24283,26,North
2024-06-23,Utility-A,Plant-B,Supplier-Gamma,Door Trim,Noise,3,2622,6,East
2024-10-18,SUV-B,Plant-D,Supplier-Gamma,Front Bumper,Surface Damage,2,6772,23,South
2024-04-27,Utility-A,Plant-D,Supplier-Delta,Fender Cladding,Noise,2,7385,7,East
2024-12-03,Offroad-A,Plant-B,Supplier-Beta,Door Trim,Fitment Issue,5,20262,29,South
2024-12-24,Offroad-A,Plant-D,Supplier-Gamma,Wheel Arch Cladding,Crack,5,14308,20,West
2024-09-13,SUV-A,Plant-A,Supplier-Beta,Wheel Arch Cladding,Noise,7,9093,11,West
2024-08-05,SUV-A,Plant-D,Supplier-Delta,Door Trim,Surface Damage,1,11198,6,South
2024-07-21,Offroad-A,Plant-A,Supplier-Alpha,Front Bumper,Noise,1,24389,20,East
2024-05-22,SUV-A,Plant-C,Supplier-Beta,Door Trim,Surface Damage,2,6033,27,West
2024-09-11,Offroad-A,Plant-B,Supplier-Alpha,Dashboard Panel,Material Failure,7,15889,30,East
2024-04-05,Utility-A,Plant-D,Supplier-Delta,Fender Cladding,Crack,5,9825,16,South
2024-07-25,Utility-A,Plant-A,Supplier-Delta,Dashboard Panel,Fitment Issue,5,4850,33,North
2024-12-13,Utility-A,Plant-D,Supplier-Alpha,Dashboard Panel,Noise,2,21311,15,South
2024-03-27,Utility-A,Plant-D,Supplier-Beta,Door Trim,Noise,1,20529,32,West
2024-05-10,SUV-A,Plant-A,Supplier-Alpha,Fender Cladding,Material Failure,5,14745,21,East
2024-04-24,SUV-A,Plant-D,Supplier-Delta,Fender Cladding,Surface Damage,4,2100,35,East
2024-10-14,SUV-B,Plant-B,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,3,10095,1,South
2024-09-11,Offroad-A,Plant-B,Supplier-Beta,Fender Cladding,Surface Damage,6,24296,26,East
2024-05-27,Offroad-A,Plant-B,Supplier-Beta,Rear Bumper,Surface Damage,6,7271,27,South
2024-02-25,SUV-A,Plant-B,Supplier-Gamma,Dashboard Panel,Noise,1,24310,17,South
2024-11-29,SUV-B,Plant-A,Supplier-Alpha,Wheel Arch Cladding,Noise,6,10929,15,East
2024-04-08,Utility-A,Plant-D,Supplier-Beta,Dashboard Panel,Noise,4,6862,22,South
2024-12-25,Offroad-A,Plant-A,Supplier-Beta,Wheel Arch Cladding,Crack,2,7929,26,West
2024-10-24,Utility-A,Plant-D,Supplier-Alpha,Door Trim,Crack,7,22036,9,East
2024-11-24,SUV-A,Plant-C,Supplier-Delta,Fender Cladding,Noise,2,20245,33,South
2024-02-29,SUV-A,Plant-D,Supplier-Alpha,Dashboard Panel,Surface Damage,3,22319,11,West
2024-07-02,SUV-B,Plant-D,Supplier-Alpha,Door Trim,Fitment Issue,7,7416,19,North
2024-06-23,Utility-A,Plant-B,Supplier-Delta,Fender Cladding,Fitment Issue,5,16353,21,South
2024-05-31,Offroad-A,Plant-D,Supplier-Alpha,Wheel Arch Cladding,Surface Damage,4,6793,2,East
2024-10-23,Offroad-A,Plant-C,Supplier-Beta,Rear Bumper,Material Failure,6,14149,11,North
2024-01-04,SUV-A,Plant-A,Supplier-Alpha,Dashboard Panel,Surface Damage,5,4688,4,West
2024-03-16,SUV-A,Plant-B,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,6,24167,8,East
2024-01-01,Utility-A,Plant-C,Supplier-Delta,Front Bumper,Material Failure,6,12814,9,North
2024-09-26,SUV-B,Plant-C,Supplier-Alpha,Door Trim,Material Failure,6,18497,1,South
2024-12-18,Utility-A,Plant-C,Supplier-Gamma,Rear Bumper,Fitment Issue,4,15533,25,North
2024-06-12,Utility-A,Plant-A,Supplier-Alpha,Door Trim,Material Failure,7,15412,5,East
2024-10-24,Offroad-A,Plant-A,Supplier-Alpha,Fender Cladding,Crack,2,22826,14,South
2024-02-17,Offroad-A,Plant-C,Supplier-Beta,Door Trim,Noise,2,5494,34,West
2024-01-18,SUV-B,Plant-A,Supplier-Beta,Wheel Arch Cladding,Material Failure,7,22825,9,West
2024-03-29,Offroad-A,Plant-D,Supplier-Gamma,Wheel Arch Cladding,Material Failure,5,19506,34,North
2024-11-27,SUV-B,Plant-D,Supplier-Gamma,Door Trim,Crack,5,22735,17,West
2024-11-11,Offroad-A,Plant-A,Supplier-Delta,Fender Cladding,Crack,4,21060,35,West
2024-06-04,SUV-B,Plant-C,Supplier-Delta,Fender Cladding,Surface Damage,3,6524,35,North
2024-06-29,SUV-B,Plant-C,Supplier-Alpha,Rear Bumper,Fitment Issue,2,10725,26,South
2024-01-09,SUV-A,Plant-B,Supplier-Beta,Wheel Arch Cladding,Surface Damage,4,24048,34,East
2024-05-31,Utility-A,Plant-C,Supplier-Alpha,Door Trim,Fitment Issue,1,14044,6,South
2024-05-27,Utility-A,Plant-B,Supplier-Beta,Rear Bumper,Crack,7,3637,5,South
2024-01-27,Utility-A,Plant-B,Supplier-Delta,Front Bumper,Noise,7,18813,12,East
2024-04-10,Offroad-A,Plant-C,Supplier-Beta,Rear Bumper,Fitment Issue,6,6296,14,North
2024-07-17,SUV-A,Plant-A,Supplier-Beta,Dashboard Panel,Fitment Issue,5,8251,10,North
2024-03-23,SUV-B,Plant-B,Supplier-Delta,Front Bumper,Crack,7,6507,30,South
2024-02-23,SUV-B,Plant-B,Supplier-Delta,Front Bumper,Material Failure,2,14416,11,East
2024-12-07,SUV-B,Plant-B,Supplier-Beta,Rear Bumper,Surface Damage,3,16478,12,North
2024-03-22,Offroad-A,Plant-A,Supplier-Gamma,Wheel Arch Cladding,Noise,7,21334,27,North
2024-05-22,Utility-A,Plant-A,Supplier-Beta,Rear Bumper,Fitment Issue,3,21856,1,South
2024-09-09,SUV-A,Plant-B,Supplier-Delta,Rear Bumper,Material Failure,1,5531,28,South
2024-04-06,SUV-B,Plant-A,Supplier-Gamma,Dashboard Panel,Crack,5,5382,20,North
2024-12-24,Offroad-A,Plant-B,Supplier-Gamma,Wheel Arch Cladding,Fitment Issue,5,20550,24,East
2024-02-09,SUV-B,Plant-B,Supplier-Alpha,Wheel Arch Cladding,Material Failure,4,11436,27,East
2024-08-16,SUV-B,Plant-D,Supplier-Delta,Dashboard Panel,Surface Damage,1,3612,10,South
2024-07-15,SUV-B,Plant-A,Supplier-Alpha,Wheel Arch Cladding,Crack,6,6212,27,East
2024-06-19,SUV-B,Plant-D,Supplier-Delta,Wheel Arch Cladding,Material Failure,7,5127,34,East
2024-11-15,SUV-A,Plant-D,Supplier-Gamma,Dashboard Panel,Material Failure,3,9071,23,South
2024-01-02,SUV-B,Plant-C,Supplier-Gamma,Wheel Arch Cladding,Fitment Issue,3,24249,16,North
2024-10-12,SUV-B,Plant-B,Supplier-Delta,Dashboard Panel,Surface Damage,7,3908,24,North
2024-02-21,SUV-A,Plant-B,Supplier-Gamma,Wheel Arch Cladding,Crack,1,9770,27,South
2024-12-22,SUV-A,Plant-B,Supplier-Delta,Rear Bumper,Crack,1,6503,12,East
2024-04-12,SUV-B,Plant-B,Supplier-Beta,Dashboard Panel,Surface Damage,3,15196,34,South
2024-02-02,SUV-A,Plant-D,Supplier-Delta,Door Trim,Noise,1,24620,33,North
2024-09-21,Utility-A,Plant-D,Supplier-Delta,Door Trim,Fitment Issue,1,16493,34,South
2024-01-11,SUV-A,Plant-D,Supplier-Beta,Door Trim,Material Failure,5,11434,11,South
2024-03-16,Utility-A,Plant-D,Supplier-Gamma,Rear Bumper,Fitment Issue,1,21974,33,North
2024-02-23,SUV-A,Plant-B,Supplier-Gamma,Wheel Arch Cladding,Surface Damage,3,14428,28,West
2024-11-26,SUV-A,Plant-A,Supplier-Gamma,Front Bumper,Material Failure,2,15922,11,West
2024-04-06,SUV-B,Plant-A,Supplier-Alpha,Wheel Arch Cladding,Noise,3,2709,31,South
2024-05-27,Offroad-A,Plant-B,Supplier-Alpha,Fender Cladding,Surface Damage,6,2826,30,South
2024-01-05,Offroad-A,Plant-A,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,7,15841,22,North
2024-10-06,SUV-B,Plant-C,Supplier-Delta,Dashboard Panel,Material Failure,6,23551,8,East
2024-10-13,Offroad-A,Plant-C,Supplier-Delta,Dashboard Panel,Crack,5,18476,3,South
2024-04-15,Utility-A,Plant-A,Supplier-Beta,Door Trim,Material Failure,1,18409,19,East
2024-02-13,Utility-A,Plant-A,Supplier-Beta,Wheel Arch Cladding,Material Failure,3,13302,22,East
2024-07-24,SUV-A,Plant-D,Supplier-Alpha,Wheel Arch Cladding,Surface Damage,6,18061,3,East
2024-10-06,Offroad-A,Plant-B,Supplier-Beta,Dashboard Panel,Noise,4,14735,22,East
2024-04-27,SUV-B,Plant-B,Supplier-Delta,Fender Cladding,Material Failure,2,21313,13,South
2024-09-24,Utility-A,Plant-C,Supplier-Beta,Front Bumper,Material Failure,3,2492,33,North
2024-06-26,Offroad-A,Plant-A,Supplier-Delta,Front Bumper,Noise,1,6541,15,South
2024-12-06,SUV-B,Plant-A,Supplier-Gamma,Door Trim,Noise,5,17843,5,West
2024-08-15,Offroad-A,Plant-C,Supplier-Gamma,Dashboard Panel,Material Failure,2,8026,11,East
2024-10-07,SUV-A,Plant-C,Supplier-Alpha,Front Bumper,Crack,6,15067,34,East
2024-04-26,SUV-A,Plant-D,Supplier-Delta,Door Trim,Crack,6,23719,30,South
2024-05-21,SUV-A,Plant-D,Supplier-Gamma,Rear Bumper,Crack,4,23534,3,East
2024-03-12,Utility-A,Plant-A,Supplier-Delta,Fender Cladding,Surface Damage,4,17332,1,West
2024-01-29,Offroad-A,Plant-C,Supplier-Beta,Wheel Arch Cladding,Surface Damage,1,4999,29,East
2024-01-25,Utility-A,Plant-A,Supplier-Gamma,Fender Cladding,Crack,4,13447,22,South
2024-03-27,Utility-A,Plant-C,Supplier-Beta,Front Bumper,Crack,7,22892,30,South
2024-07-05,Offroad-A,Plant-C,Supplier-Delta,Dashboard Panel,Crack,2,19284,32,North
2024-04-09,Offroad-A,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Noise,6,6236,34,East
2024-09-11,SUV-A,Plant-B,Supplier-Gamma,Fender Cladding,Fitment Issue,4,9538,11,West
2024-06-26,Offroad-A,Plant-B,Supplier-Alpha,Fender Cladding,Surface Damage,7,12668,8,East
2024-05-19,Utility-A,Plant-B,Supplier-Gamma,Dashboard Panel,Surface Damage,1,5656,15,South
2024-03-22,Offroad-A,Plant-D,Supplier-Gamma,Dashboard Panel,Surface Damage,6,16750,14,West
2024-12-21,Utility-A,Plant-D,Supplier-Gamma,Door Trim,Fitment Issue,4,22950,29,West
2024-01-19,SUV-B,Plant-C,Supplier-Alpha,Dashboard Panel,Material Failure,5,6986,9,South
2024-09-11,SUV-A,Plant-B,Supplier-Gamma,Dashboard Panel,Surface Damage,6,4703,20,West
2024-02-22,Offroad-A,Plant-C,Supplier-Beta,Dashboard Panel,Material Failure,7,7075,15,East
2024-02-04,Utility-A,Plant-B,Supplier-Delta,Rear Bumper,Noise,7,19652,11,West
2024-06-03,Utility-A,Plant-D,Supplier-Gamma,Fender Cladding,Crack,2,17918,34,South
2024-03-07,SUV-B,Plant-D,Supplier-Gamma,Dashboard Panel,Crack,7,21119,31,West
2024-08-17,SUV-B,Plant-A,Supplier-Beta,Wheel Arch Cladding,Noise,7,21152,29,South
2024-02-20,SUV-B,Plant-C,Supplier-Alpha,Rear Bumper,Crack,6,15503,25,South
2024-12-26,SUV-A,Plant-D,Supplier-Alpha,Rear Bumper,Noise,6,8449,11,East
2024-02-12,Utility-A,Plant-B,Supplier-Beta,Dashboard Panel,Crack,1,14434,2,West
2024-02-04,SUV-B,Plant-D,Supplier-Gamma,Wheel Arch Cladding,Noise,1,7162,8,East
2024-01-15,Utility-A,Plant-B,Supplier-Beta,Rear Bumper,Noise,5,18748,2,North
2024-05-23,SUV-A,Plant-C,Supplier-Beta,Front Bumper,Crack,1,7722,2,North
2024-12-20,SUV-B,Plant-C,Supplier-Delta,Rear Bumper,Material Failure,3,18068,8,North
2024-03-09,Offroad-A,Plant-C,Supplier-Delta,Door Trim,Surface Damage,1,7300,31,North
2024-07-17,Utility-A,Plant-D,Supplier-Gamma,Rear Bumper,Surface Damage,6,5246,33,East
2024-03-25,SUV-A,Plant-D,Supplier-Beta,Fender Cladding,Fitment Issue,6,8949,24,South
2024-06-17,SUV-A,Plant-C,Supplier-Alpha,Dashboard Panel,Fitment Issue,4,10248,25,East
2024-07-11,Offroad-A,Plant-D,Supplier-Alpha,Rear Bumper,Crack,1,12504,1,West
2024-01-30,Utility-A,Plant-C,Supplier-Delta,Door Trim,Surface Damage,2,9000,26,East
2024-05-26,SUV-B,Plant-C,Supplier-Alpha,Door Trim,Fitment Issue,1,2654,21,East
2024-03-28,SUV-A,Plant-C,Supplier-Beta,Dashboard Panel,Surface Damage,2,12987,23,North
2024-10-28,SUV-A,Plant-A,Supplier-Delta,Rear Bumper,Noise,6,3562,3,West
2024-11-11,Utility-A,Plant-B,Supplier-Delta,Front Bumper,Material Failure,7,3196,5,South
2024-03-19,SUV-A,Plant-A,Supplier-Gamma,Rear Bumper,Noise,7,12228,29,South
2024-08-14,SUV-A,Plant-C,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,5,14293,27,East
2024-01-24,SUV-A,Plant-D,Supplier-Delta,Door Trim,Fitment Issue,3,22006,28,North
2024-06-25,Offroad-A,Plant-D,Supplier-Alpha,Rear Bumper,Crack,4,8962,14,East
2024-07-05,SUV-A,Plant-A,Supplier-Delta,Front Bumper,Material Failure,3,14060,6,South
2024-09-26,SUV-A,Plant-C,Supplier-Delta,Front Bumper,Material Failure,3,4272,14,South
2024-08-01,Offroad-A,Plant-B,Supplier-Gamma,Front Bumper,Surface Damage,5,11297,19,West
2024-10-21,SUV-B,Plant-B,Supplier-Gamma,Fender Cladding,Crack,1,22736,1,West
2024-09-20,SUV-A,Plant-D,Supplier-Delta,Fender Cladding,Material Failure,6,6236,29,East
